mode,subject,source_session,target_session,representation,seed,permutation,score
zero,1,both,both,F2-S,11.0,"3,1,2,0",9.682634489839462
zero,1,both,both,F2-S,11.0,"2,0,1,3",9.780231217714569
zero,1,both,both,F2-S,11.0,"3,1,0,2",9.886166492225481
zero,1,both,both,F2-S,12.0,"1,0,2,3",5.416564734716572
zero,1,both,both,F2-S,12.0,"2,0,1,3",5.8105488263638465
zero,1,both,both,F2-S,12.0,"1,2,0,3",6.038561427589683
zero,1,both,both,F2-S,12.0,"2,1,0,3",6.693793816583446
zero,1,both,both,F2-S,12.0,"3,0,2,1",6.9269549850916246
zero,1,both,both,F2-S,12.0,"0,2,1,3",7.150499284187948
zero,1,both,both,F2-S,12.0,"3,2,0,1",7.266519487765873
zero,1,both,both,F2-S,12.0,"0,1,2,3",7.382840691248932
zero,1,both,both,F2-S,12.0,"3,0,1,2",7.701026985211803
zero,1,both,both,F2-S,12.0,"3,1,0,2",8.01142587461123
zero,1,both,both,F2-S,12.0,"2,0,3,1",8.24254478614619
zero,1,both,both,F2-S,12.0,"1,0,3,2",8.514807930448969
zero,1,both,both,F2-S,12.0,"3,2,1,0",8.826640877747304
zero,1,both,both,F2-S,12.0,"3,1,2,0",8.866754172716686
zero,1,both,both,F2-S,12.0,"2,3,0,1",9.01743847460652
zero,1,both,both,F2-S,12.0,"0,2,3,1",9.14518635815507
zero,1,both,both,F2-S,12.0,"1,3,2,0",9.275133021996515
zero,1,both,both,F2-S,12.0,"1,3,0,2",9.275332494321379
zero,1,both,both,F2-S,12.0,"1,2,3,0",9.418729925372315
zero,1,both,both,F2-S,12.0,"0,1,3,2",9.442548671285136
zero,1,both,both,F2-S,12.0,"2,3,1,0",9.633345254157483
zero,1,both,both,F2-S,12.0,"2,1,3,0",9.642532807051971
zero,1,both,both,F2-S,12.0,"0,3,2,1",9.643071750652696
zero,1,both,both,F2-S,12.0,"0,3,1,2",9.855439310133944
zero,1,both,both,F2-S,13.0,"0,2,1,3",5.259028426890002
zero,1,both,both,F2-S,13.0,"1,2,0,3",5.807767133961026
zero,1,both,both,F2-S,13.0,"0,1,2,3",5.938030624497429
zero,1,both,both,F2-S,13.0,"1,0,2,3",6.5703604445419135
zero,1,both,both,F2-S,13.0,"3,2,1,0",6.94392689587699
zero,1,both,both,F2-S,13.0,"3,1,2,0",7.304293832332848
zero,1,both,both,F2-S,13.0,"2,1,0,3",7.337195438908498
zero,1,both,both,F2-S,13.0,"2,0,1,3",7.3561202873616125
zero,1,both,both,F2-S,13.0,"3,2,0,1",7.57880834894927
zero,1,both,both,F2-S,13.0,"3,0,2,1",8.004626512699504
zero,1,both,both,F2-S,13.0,"1,2,3,0",8.21705039701061
zero,1,both,both,F2-S,13.0,"0,2,3,1",8.597839136971123
zero,1,both,both,F2-S,13.0,"3,0,1,2",8.892337520319645
zero,1,both,both,F2-S,13.0,"3,1,0,2",8.89451490114103
zero,1,both,both,F2-S,13.0,"1,3,2,0",9.00150200441449
zero,1,both,both,F2-S,13.0,"2,1,3,0",9.161214291465177
zero,1,both,both,F2-S,13.0,"0,3,2,1",9.325235530557157
zero,1,both,both,F2-S,13.0,"0,1,3,2",9.402667377293636
zero,1,both,both,F2-S,13.0,"0,3,1,2",9.409962503924806
zero,1,both,both,F2-S,13.0,"2,0,3,1",9.492047674788786
zero,1,both,both,F2-S,13.0,"1,3,0,2",9.617265882711568
zero,1,both,both,F2-S,13.0,"2,3,1,0",9.682634489839462
zero,1,both,both,F2-S,13.0,"1,0,3,2",9.780231217714569
zero,1,both,both,F2-S,13.0,"2,3,0,1",9.886166492225481
zero,1,both,both,F2-S,14.0,"3,1,2,0",5.259028426890002
zero,1,both,both,F2-S,14.0,"2,1,3,0",5.807767133961026
zero,1,both,both,F2-S,14.0,"3,2,1,0",5.938030624497429
zero,1,both,both,F2-S,14.0,"2,3,1,0",6.5703604445419135
zero,1,both,both,F2-S,14.0,"0,1,2,3",6.94392689587699
zero,1,both,both,F2-S,14.0,"0,2,1,3",7.304293832332848
zero,1,both,both,F2-S,14.0,"1,2,3,0",7.337195438908498
zero,1,both,both,F2-S,14.0,"1,3,2,0",7.3561202873616125
zero,1,both,both,F2-S,14.0,"0,1,3,2",7.57880834894927
zero,1,both,both,F2-S,14.0,"0,3,1,2",8.004626512699504
zero,1,both,both,F2-S,14.0,"2,1,0,3",8.21705039701061
zero,1,both,both,F2-S,14.0,"3,1,0,2",8.597839136971123
