protocol_version,protocol_sha256,config_sha256,code_commit,phase,session,status,geometry,subject,split,d_relative_error,g_relative_error,d_limit,g_limit,g_direct_whitened_relative_error,g_direct_whitened_limit,permutation_d_relative_error,permutation_g_relative_error,permutation_limit,le_d_g_identity_relative_error,le_d_g_identity_limit,d_symmetry_relative_error,d_diagonal_max_abs,d_minimum,g_symmetry_relative_error,structure_tolerance,passed
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,4,B,1.8843937936226457e-15,2.60434333124723e-15,1e-10,1e-10,2.439509233839613e-15,1e-10,3.700789747161602e-14,0.0,1e-10,,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,4,F,3.5262164418990716e-15,3.1901104263419494e-15,1e-10,1e-10,1.098925977053562e-14,1e-10,4.536728022337649e-14,0.0,1e-10,,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,5,A,4.8348663340773186e-15,4.4434842929031235e-15,1e-10,1e-10,1.2244720286431853e-14,1e-10,6.04946157050662e-14,0.0,1e-10,,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,5,B,4.625951722671692e-15,6.438843020940676e-15,1e-10,1e-10,2.5190385666944258e-15,1e-10,2.445160970906238e-14,0.0,1e-10,,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,5,F,3.624660727339089e-15,5.2801093892330795e-15,1e-10,1e-10,1.0974754491993742e-14,1e-10,5.000914932026844e-14,0.0,1e-10,,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,6,A,3.838802680792653e-15,3.936470977357984e-15,1e-10,1e-10,5.794175278769346e-15,1e-10,1.0259325578868214e-14,0.0,1e-10,,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,6,B,3.4426234086731057e-15,3.4586907200204927e-15,1e-10,1e-10,2.5441887248091634e-15,1e-10,9.990913951144858e-15,0.0,1e-10,,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,6,F,3.095774345149581e-15,3.3982773914725388e-15,1e-10,1e-10,5.512479401023573e-15,1e-10,9.497490180725842e-15,0.0,1e-10,,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,7,A,4.882955602624949e-15,2.0223179681826156e-15,1e-10,1e-10,8.02820965023771e-15,1e-10,2.5746399042013142e-15,0.0,1e-10,,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,7,B,5.299990010545095e-15,2.139110602362321e-15,1e-10,1e-10,3.441690478167876e-15,1e-10,6.7304764124705194e-15,0.0,1e-10,,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,7,F,1.9720228537211475e-15,1.0525271210098756e-15,1e-10,1e-10,1.3553447369198914e-15,1e-10,5.040090789292053e-15,0.0,1e-10,,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,8,A,2.276623441870081e-15,1.4613614479043763e-15,1e-10,1e-10,6.92024818190301e-15,1e-10,1.2788454302888909e-14,0.0,1e-10,,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,8,B,7.371611393534322e-16,2.4711572750610095e-15,1e-10,1e-10,2.1492896342347853e-14,1e-10,1.511863968538167e-14,0.0,1e-10,,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,8,F,8.853495522239725e-16,2.389055874070958e-15,1e-10,1e-10,1.2756773026440336e-14,1e-10,3.4738155565984627e-15,0.0,1e-10,,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,9,A,2.2716584136661196e-15,1.7687463921495445e-15,1e-10,1e-10,5.462766519972861e-15,1e-10,1.3194144557636841e-14,0.0,1e-10,,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,9,B,1.8097920037115213e-15,1.6707777063952054e-15,1e-10,1e-10,9.89206346251989e-15,1e-10,1.3538165529777417e-14,0.0,1e-10,,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,AIRM,9,F,1.9547084603787357e-15,1.5223451888244194e-15,1e-10,1e-10,7.766773079045898e-15,1e-10,9.548594178926846e-15,0.0,1e-10,,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,1,A,7.252615786225189e-16,1.5652353161528946e-15,1e-10,1e-10,,1e-10,0.0,0.0,1e-10,1.9650439663969663e-16,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,1,B,8.821293702386033e-16,1.6493651394938176e-15,1e-10,1e-10,,1e-10,0.0,0.0,1e-10,1.8122629030178295e-16,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,1,F,9.075659247921754e-16,2.0933673720128958e-15,1e-10,1e-10,,1e-10,0.0,0.0,1e-10,2.002759246817382e-16,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,2,A,1.796125491334065e-15,6.165832141781846e-15,1e-10,1e-10,,1e-10,0.0,0.0,1e-10,1.9486775583527416e-16,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,2,B,1.054443216944423e-15,3.702487304705432e-15,1e-10,1e-10,,1e-10,0.0,0.0,1e-10,4.751263325187524e-16,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,2,F,1.40199960729183e-15,4.561471277613672e-15,1e-10,1e-10,,1e-10,0.0,0.0,1e-10,1.7583162980295689e-16,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,3,A,2.7643646978350536e-16,8.165097611045267e-16,1e-10,1e-10,,1e-10,0.0,0.0,1e-10,2.4096659967446764e-16,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,3,B,1.3813228795930935e-15,3.0975885360334423e-15,1e-10,1e-10,,1e-10,0.0,0.0,1e-10,2.1486965699123381e-16,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,3,F,9.915486585528553e-16,2.401709794863523e-15,1e-10,1e-10,,1e-10,0.0,0.0,1e-10,1.2227405107959564e-16,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,4,A,1.5327709161440255e-15,3.847871310017993e-15,1e-10,1e-10,,1e-10,0.0,0.0,1e-10,3.4647670651214436e-16,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,4,B,9.809109652859832e-16,3.862541727046455e-15,1e-10,1e-10,,1e-10,0.0,0.0,1e-10,2.5229883294216116e-16,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,4,F,8.731721530296208e-16,3.478565282253073e-15,1e-10,1e-10,,1e-10,0.0,0.0,1e-10,1.9205428739045106e-16,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,5,A,1.2903843500953353e-15,5.6300922412194475e-15,1e-10,1e-10,,1e-10,0.0,0.0,1e-10,2.0867353646170377e-16,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,5,B,1.4485863422899678e-15,3.1494358310061717e-15,1e-10,1e-10,,1e-10,0.0,0.0,1e-10,1.995002643379152e-16,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,5,F,1.184898106471805e-15,4.303956118519126e-15,1e-10,1e-10,,1e-10,0.0,0.0,1e-10,3.340981381902707e-16,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,6,A,1.0848610350328956e-15,3.5166704646355695e-15,1e-10,1e-10,,1e-10,0.0,0.0,1e-10,1.5317303607847539e-16,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,6,B,4.598545882473822e-16,1.6281310758273744e-15,1e-10,1e-10,,1e-10,0.0,0.0,1e-10,2.748612795239338e-16,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,6,F,1.147335688028652e-15,2.4246338647443454e-15,1e-10,1e-10,,1e-10,0.0,0.0,1e-10,5.2821343847162425e-17,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,7,A,1.0028154852739548e-15,2.093670925257785e-15,1e-10,1e-10,,1e-10,0.0,0.0,1e-10,2.060001369422809e-16,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,7,B,1.0777481657373896e-15,2.874745068772361e-15,1e-10,1e-10,,1e-10,0.0,0.0,1e-10,2.1354131456426166e-16,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,7,F,5.914153941539718e-16,1.2153298275028884e-15,1e-10,1e-10,,1e-10,0.0,0.0,1e-10,4.3584476282665633e-16,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,8,A,6.99197370179854e-16,1.5835408427724703e-15,1e-10,1e-10,,1e-10,0.0,0.0,1e-10,1.6330636364526447e-16,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,8,B,9.502298800189854e-16,2.514459492986754e-15,1e-10,1e-10,,1e-10,0.0,0.0,1e-10,4.724413221677934e-17,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,8,F,6.277957938083823e-16,1.6833487333967673e-15,1e-10,1e-10,,1e-10,0.0,0.0,1e-10,2.149772862830869e-16,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,9,A,1.1284309513643907e-15,2.7180321554164733e-15,1e-10,1e-10,,1e-10,0.0,0.0,1e-10,3.4987403769431283e-16,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,9,B,7.890072024246549e-16,2.454191611707295e-15,1e-10,1e-10,,1e-10,0.0,0.0,1e-10,1.8272186735390007e-16,1e-10,0.0,0.0,0.0,0.0,1e-12,True
1.0,ff7143dca8408a73233321fc7219358e48f2336bad0cb63f4e76f8988e77ecce,ca0178be9c5fd168509f48974d2b3e1bbc91b2ba4e8e9e320299fd98dcf765e8,0c9085a7366142fd489e5640b36c75720ff4acbc,discovery,0train,PASS,LE,9,F,1.2031979104202038e-15,2.546483158429489e-15,1e-10,1e-10,,1e-10,0.0,0.0,1e-10,4.509253190083018e-16,1e-10,0.0,0.0,0.0,0.0,1e-12,True
